crop_id,dataset_path,polygon_rank_x,joint_position,board,package,cell,viewpoint,class,group_id,split,split_hash
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_48_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_48_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,normal,manual_006,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_48_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_37_48_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_006,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_01_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_01_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_007,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_01_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_01_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,normal,manual_007,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_14_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_14_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_008,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_14_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_14_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_008,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_24_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_24_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_009,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_24_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_24_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_009,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_35_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_35_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,excess,manual_010,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_35_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_38_35_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,normal,manual_010,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_16_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_16_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_011,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_16_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_16_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_011,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_31_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_31_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_012,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_31_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_39_31_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_012,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_20_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_20_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,spike,manual_013,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_20_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_20_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_013,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_35_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_35_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_014,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_35_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_35_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_014,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_52_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_52_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_015,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_52_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_40_52_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,normal,manual_015,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_05_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_05_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_016,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_05_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_05_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_016,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_16_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_16_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,excess,manual_017,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_16_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_16_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_017,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_28_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_28_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,excess,manual_018,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_28_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_28_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,normal,manual_018,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_43_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_43_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_019,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_43_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_41_43_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,excess,manual_019,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_42_25_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_42_25_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_020,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_42_25_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2.1/WIN_20220330_13_42_25_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2.1,insufficient,manual_020,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_16_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_16_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,excess,manual_001,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_16_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_16_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_001,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_29_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_29_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_002,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_29_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_29_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,insufficient,manual_002,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_58_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_58_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_003,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_58_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_11_58_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_003,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_12_12_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_12_12_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_004,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_12_12_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_12_12_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,normal,manual_004,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_13_31_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_13_31_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_005,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_13_31_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_13_31_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,excess,manual_005,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_14_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_14_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_006,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_14_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_14_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,excess,manual_006,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_51_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_51_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_007,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_51_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_17_51_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_007,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_07_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_07_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_008,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_07_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_07_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_008,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_32_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_32_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_009,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_32_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_18_32_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_009,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_19_17_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_19_17_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_010,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_19_17_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_19_17_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,excess,manual_010,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_12_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_12_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_011,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_12_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_12_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_011,test,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_23_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_23_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,excess,manual_012,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_23_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_23_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_012,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_35_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_35_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,excess,manual_013,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_35_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_35_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_013,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_47_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_47_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_014,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_47_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_47_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,insufficient,manual_014,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_58_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_58_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_015,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_58_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_20_58_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,insufficient,manual_015,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_12_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_12_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,excess,manual_016,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_12_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_12_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,insufficient,manual_016,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_32_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_32_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,excess,manual_017,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_32_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_21_32_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,excess,manual_017,train,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_11_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_11_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_018,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_11_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_11_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_018,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_28_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_28_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,normal,manual_019,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_28_Pro.jpg#2,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_28_Pro.jpg,2,right,CS1,R0805,CS1/R0805,V2,spike,manual_019,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_42_Pro.jpg#1,SolDef_AI/Dataset/CS1/R0805/V2/WIN_20220330_13_22_42_Pro.jpg,1,left,CS1,R0805,CS1/R0805,V2,insufficient,manual_020,val,7925ce616931ad52c69a46e94b69e113fc9713d4bb15c5f9163ba0354e4c8b0c
